perfil,accesibilidad,lugar,descripcion,link
naturalista,5,Reserva Costa Atlántica,Área protegida costera para el avistaje de aves y conservación de la biodiversidad.,https://maps.app.goo.gl/Jf54PryaQZ8YzvNs8
naturalista,5,Reserva Urbana Laguna de los Patos,La Reserva Natural Urbana Laguna de los Patos está formada por vertientes y manantiales que se desarrollan en terrenos inundables llamadas localmente vega,https://maps.app.goo.gl/Jf54PryaQZ8YzvNs8
naturalista,3,Reserva Natural Urbana Punta Popper,Pastizales típicos de la costa riograndense. Donde nidifican aves residentes y descansan las aves migratorias en el verano,https://maps.app.goo.gl/TEfke5cR8W5GQM5Z9
aventurero,2,Cabo Domingo,Formación natural con vistas panorámicas del Atlántico y zonas ideales para caminatas.,https://maps.app.goo.gl/ERTMx95rAuhb8ihj6
patriota,3,Circuito Malvinas,Un recorrido por los monumentos en memoria de los héroes de Malvinas.,https://turismo.riogrande.gob.ar/circuitomalvinas/
artista,4,Casa de la Cultura,"Espacio para eventos artísticos, obras teatrales, exposiciones y talleres culturales.",https://cultura.riogrande.gob.ar
historiador,4,Circuito Histórico,Recorrido urbano autoguiado por puntos clave en la historia fundacional de Río Grande.,https://turismo.riogrande.gob.ar/circuitohistorico/
curioso,4,Museo Municipal Virginia Choquintel,"Museo con exhibiciones sobre historia fueguina, paleontología y cultura local.",https://g4d0975984939f6-riogrande.adb.us-ashburn-1.oraclecloudapps.com/ords/r/inscripciones/turneromuseo/turno-museo/
historiador,3,Museo Monseñor Fagnano,Espacio que conserva objetos religiosos e históricos de la misión salesiana.,https://turismo.riogrande.gob.ar/museosespaciosculturales/
curioso,4,Museo Privado Shanti,Pequeño museo con objetos históricos y colecciones particulares.,https://maps.app.goo.gl/79QStp4ecb99AHTe6
artista,4,Museo Fueguino de Arte (Niní Bernardello),Museo que expone obras contemporáneas y patrimonio artístico regional.,https://maps.app.goo.gl/vjqGTErV7PJkHZoD7
patriota,4,Museo Salón «Malvinas en la Memoria»,Espacio dedicado a la memoria de los caídos y veteranos de la Guerra de Malvinas.,https://maps.app.goo.gl/ChoBCqD2PCFNW9HR8
artista,5,Paseo del Viento,Paseo urbano costero con esculturas y espacios culturales al aire libre.,https://turismo.riogrande.gob.ar/museosespaciosculturales/
artista,4,Casa de la Cultura,"Espacio para eventos artísticos, obras teatrales, exposiciones y talleres culturales.",https://cultura.riogrande.gob.ar
historiador,2,Ex Frigorífico CAP,Complejo industrial pionero que impulsó el desarrollo económico de la región.,https://turismo.riogrande.gob.ar/monumentoshistoricosnacionales/
historiador,3,Misión Salesiana Ntra. Sra. de la Candelaria,Museo y escuela fundada por misioneros con importante valor patrimonial.,https://turismo.riogrande.gob.ar/monumentoshistoricosnacionales/
historiador,3,Oveja Negra (Consulado británico),"Antigua sede consular, actualmente un lugar con interés arquitectónico e histórico.",https://turismo.riogrande.gob.ar/monumentoshistoricosnacionales/
historiador,2,Antiguo Puente Colgante,"Histórico puente metálico que unió ambas márgenes del Río Grande, ícono de la ciudad.",https://turismo.riogrande.gob.ar/monumentoshistoricosnacionales/
pescador,3,Río Grande - Capital Internacional de la Trucha,Reconocimiento internacional por la calidad de su pesca.,https://maps.app.goo.gl/Lc1dnvAD8eok6H5u5
pescador,2,Cotos de pesca en estancias,Zonas privadas habilitadas para pesca deportiva de truchas con servicios exclusivos. Requiere permiso de pesca. Visite la página web para más info.,https://turismo.riogrande.gob.ar/pesca/
gastronómico,4,Chinoa Chocolates,Chocolatería local con elaboración artesanal y sabores autóctonos.,https://www.instagram.com/chinoachocolates/
gastronómico,4,Chacinados San Andrés,Producción artesanal de fiambres y embutidos patagónicos.,https://www.instagram.com/chacinadossanandres/
gastronómico,3,Quesos La Misión,Producción artesanal de quesos y productos lácteos regionales.,https://turismo.riogrande.gob.ar/museosespaciosculturales/
gastronómico,4,Coirón Cervecería Artesanal,Fábrica local de cervezas con sabores y estilos únicos de la región.,https://turismo.riogrande.gob.ar/museosespaciosculturales/
gastronómico,4,Towora Gin ,Gin elaborado con botánicos silvestres de la isla,https://www.instagram.com/towworagin/
gastronómico,4,Quinta Pionera,"Predio para eventos familiares y comunitarios, rodeado de naturaleza y espacios verdes.",https://www.instagram.com/quinta.pionera/
gastronómico,4,Chocolatería Mamá Flora,Emprendimiento familiar que ofrece bombonería artesanal y regional.,https://www.instagram.com/chocolateria.mama.flora/
recuerdos,3,Ona Land,"Parque de diversiones infantil con juegos, entretenimiento y gastronomía.",https://www.instagram.com/onalandtdf/
recuerdos,4,Rústico Regionales,Tienda de productos autóctonos con identidad fueguina.,https://www.facebook.com/p/Rustico-Regionales-Río-Grande-100064033290820/?locale=es_LA&paipv=0&eav=AfZX9tlJcbf7yP_kGgxBJsbmQu1o1ea2BGGTLbuaC-TpYb5kl3lOjYxikcCwMI_Mybs&_rdr
